zouave zuavog
koran koranog
kopeck kopekog
knuckle artikog
know sciig
knout skurĝog
knot ligtuberog
knock frapig
knob butonog
knitting-needle trikilog
knit triki
knight kavalirog
knife-blade tranĉantog
knife tranĉilog
kneel genufleksig
kneecap genuostog
knee genuog
kneading-trough knedujog
knead knedig
knavery friponecog
knave friponog
knapsack tornistrog
knacker defelistog
knack lertecog
kitchen-jack turnrostilog
kitchen-gardener legomĝardenistog
kitchen-garden legoma
kitchen kuirejog
kiss kisig
kinsman parencog
kinsfolk parencarog
kingfisher alcionog
kingdom reĝolando
king reĝog
kindred parencarog
kindness bonecog
kindle ekbruligig
kind bonag
kin parencecog
kilometre kilometrog
kilolitre kilolitrog
kilogramme kilogramog
kill mortigig
kidney renog
kidnap forŝtelig
kid kapridog
kick piedfrapog
keystone ĉefŝtonog
keyboard klavarog
key ŝlosilog
kettle bolilog
kernel kernog
kennel hundejog
keg bareletog
keepsake memoraĵog
keeper gardantog
keep teni
keel kilog
kangaroo didelfog
kaleidoscope kalejdoskopog
juxtaposition apudmetog
juvenile junag
justly justeg
justify pravigig
justice justecog
juryman ĵurintog
jury juĝantarog
juror ĵurintog
junior neplenaĝag
june juniog
junction kuniĝog
jump saltig
jumble miksig
july juliog
juicy sukag
juice sukog
jugglery ĵongladog
juggler ĵonglistog
juggle ĵonglig
jug kruĉog
judicious prudentag
judicial juĝag
judge juĝantog
judge juĝig
jubilee jubileog
jubilant ĝojegag
joyous ĝojag
joy ĝojog
jowl buŝegog
jovial ĝojegag
journeyman taglaboristog
journey vojaĝog
jot jotog
jostle puŝegig
jolt ekskuig
jolly gajegag
joke ŝercig
joist trabog
jointly kuneg
joiner lignaĵistog
join kunigig
jocular ŝercemag
jocose ŝercemag
jockey rajdistog
job tasketog
jingle tintig
jilt koketulinog
jewess hebreinog
jeweller juvelistog
jewel-box juvelujog
jewel juvelog
jew hebreog
jetty digog
jetsam fukog
jesus jesuog
jesuit jezuitog
jest ŝercog
jest ŝercig
jessamine jasmenog
jerk ekskuog
jeopardy danĝerog
jelly ĝelatenog
jeer mokadig
jealousy ĵaluzog
jay garolog
jawbone makzelostog
jaw makzelog
javelin ĵetponardog
jaundice flavmalsanog
jasmine jasmenog
jar botelegog
japanese japanog
japan japanujog
january januarog
jam fruktaĵog
jailer gardistog
jail malliberejog
jaguar jaguarog
jagged dentag
jaded lacag
jacket jako
jackal ŝakalog
jackass azenvirog
jabber babilig
ivy hederog
ivory elefantostog
itinerant vojaĝantag
iteration ripetadog
item erog
itching jukog
itch jukig
italian italog
it ĝi
isthmus terkolog
issue elfluig
issue eldonig
israelite izraelidog
isolate izolig
isle insulog
islander insulanog
island insulog
is estasg
irritate incitig
irritable inciteblag
irreverence malriverencog
irresolute ŝanceliĝa
irreproachable neriproĉindag
irrepressible nehaltigeblag
irreparable neripareblag
irreligious malpiag
irregular neregulag
irradiate radiig
irony ironiog
ironmonger patvendistog
iron ferog
irksome peniga
irishman irlandanog
ire kolerog
irascible ekkoleremag
iodine jodog
involuntary senvolag
invoke alvokig
invoice fakturog
invite invitig
invitation invitog
invisible nevideblag
invincible nevenkeblag
invigorate vivigig
inveterate enradikitag
investigate esplorig
invert interŝanĝig
inventory katalogog
invention elpensog
invent elpensig
invasion ekokupadog
invariable neŝanĝeblag
invaluable netakseblag
invalidate nuligig
invalid malsanetulog
invalid nulag
invade enpenetrig
inutility senutilog
inure kutimigig
inundate superakvig
intrust komisiig
intrusion trudog
intruder trudulog
introduction enkondukog
introduce prezenti
intrinsic verag
intrigue intrigig
intricate malsimplag
intrepid kuraĝegag
intransitive netransitivag
intractable nedreseblag
intoxication ebriecog
intoxicated ebriag
intoxicate ebriigig
intolerant netoleremag
intolerable netolereblag
intimidate timigig
intimation sciigog
intimate sciigig
intimate intima
intimacy intimecog
intestine internaĵog
intestate sentestamentag
interweave kunplektig
interview intervidiĝog
intervention intermetog
intersect intersekciig
interrupt interrompig
interregnum interregnog
interrogatory demandag
interrogate demandig
interpreter tradukistog
interprete tradukig
interpose intermetig
internationality internaciecog
internationalist internaciistog
international internaciag
internally interneg
internal internag
intermittent intermitag
intermit intermitig
intermission intermitog
interminable senfinag
interment interigog
intermediate intera
intermeddle enmiksiĝig
interlude interaktog
interloper trudulog
interlocutor interparolantog
interline interliniig
interjection interjekciog
interior internog
interesting interesag
interest interesig
interest procentog
interdict malpermesig
intercourse interrilatog
intercessor propetulog
intercession propetog
intercept interkaptig
intercede propetig
intercalate intermetig
inter enterigig
intentional intencag
intention intencog
intent celog
intensity egecog
intense egag
intend intencig
intemperate malsobrag
intemperance malsobrecog
intelligent inteligentag
intelligence inteligentecog
intellect inteligentecog
integrity rektecog
integer tutciferog
intact sendifektag
insusceptible sensentemag
insurrection ribelog
insurgent ribelantog
insure asekurig
insurance asekurog
insult insultig
insulate soligi
insular insulag
insufficient nesufiĉag
insufferable nesufereblag
insubordination ribeleto—adog
instructor instruistog
instructive instruag
instruction instrukciog
instruct instruig
institution instituciog
institute institutog
institute fondig
instinct instinktog
instill infuzig
instigate instigig
instep piedartikog
instantaneous subitag
instant momentog
instance ekzemplog
instance ekzemplodonig
install loĝigig
instalment partpagog
inspire inspirig
inspire enspirig
inspiration inspirog
inspector inspektorog
inspect ekzamenig
insomnia sendormog
insolvent nepagokapablag
insoluble nesolveblag
insolent insultemag
insobriety malsobrecog
insnare allogi
insist insistig
insipid sengustag
insinuate proponetig
insincere nesincerag
insignificant sensignifag
insight elsciadog
insidious insidag
inside interneg
inseparable sendisiĝag
insertion enpresaĵog
insert enmetig
insensible sensentag
insecure danĝerag
insect insektog
inscrutable neserĉeblag
inscription surskribog
inscribe enskribig
insatiable nesatigeblag
insanity frenezecog
insane frenezag
insalubrious malsanigag
inroad ekokupog
inquisitor inkvizitorog
inquisitive sciamag
inquisition inkviziciog
inquiry demandog
inquire demandig
inquietude maltrankvilecog
inquest enketog
inopportune neĝustatempag
inoffensive neofendemag
inodorous senodorag
inoculate inokulig
innumerable nekalkuleblag
innocent senkulpag
innocence senkulpecog
inn gastejog
inmate loĝantog
ink inkog
injustice maljustecog
injury difektaĵog
injurious difektigag
inject enŝprucigig
initiator iniciatorog
initiate iniciatig
iniquity malboneco
inhuman nehumanag
inheritance heredaĵog
inherit heredig
inhale enspirig
inhabit loĝig
ingress enigog
ingredient elementaĵog
ingratitude sendankecog
ingot fandaĵog
ingenuous naivag
ingenuity lertecog
ingenious sagacag
infuze infuzig
infrequent maloftag
inform sciigig
inform informig
influenza gripog
influence influog
influence influig
inflexible nefleksebla
inflect fleksig
inflammation brulumog
inflammable bruliĝemag
inflame flamigig
infirmity malfortecog
infirmary malsanulejog
infirm malfortag
infinity multegog
infinite senlimag
infidelity malfidelecog
infernal inferag
inferiority malsuperecog
inferior malsuperag
infer implikig
infelicity malfeliĉecog
infect infektig
infatuation delogitecog
infantry infanteriog
infantile infanag
infant infanetog
infancy infanecog
infamy malgloro
infamous malglora
infallibly neerarebleg
infallibility neerareblecog
infallible neerareblag
inextricable nemalplekteblag
inexpressible neesprimeblag
inexplicable neklarigeblag
inexperience malspertecog
inexpedient nenecesa
inexhaustible nekonsumeblag
inexact malĝustag
inevitable neeviteblag
inestimable netakseblag
inertia inerciog
inert senmovag
ineligible neelekteblag
ineffectual vanag
inebriate ebriig
industrious diligentag
indulgence indulgog
indulge indulgig
induce decidigi
indubitable nedubag
indorse dorseskribig
indomitable nedreseblag
indolent senenergiag
indivisible nedivideblag
individual individuag
individual individuog
indistinct malklarag
indissoluble nesolveblag
indisputable nedisputeblag
indisposition malsanetog
indispensable necesegag
indiscreet maldiskretag
indigestible nedigesteblag
indigent malriĉag
indigenous enlandag
indifferent indiferentag
indict kulpigig
indicate montrig
india-rubber kaŭĉukog
index tabelog
indeterminate nedifinitag
independent sendependag
independence sendependecog
indemnity kompensog
indemnify kompensig
indefinite nedifinitag
indefatigable senlacag
indeed do
indecision nedecidecog
indecent maldecag
indebtedness ŝuldecog
incurable neresanigeblag
inculcate enradikig
incriminate kulpigig
incredulous nekredemag
incredible nekredeblag
increase plimultigig
incorruption senputrecog
incorruptible neputreblag
incorrupt honestag
incorrigible plimalobea
incorrect malkorektag
incorporeal spiritag
inconvenient maloportunag
incontestable nedisputeblag
inconstant ŝanĝemag
inconsolable nekonsoleblag
inconsistent nekonsekvencag
inconceivable neimageblag
incomprehensible nekompreneblag
incomplete neplenag
incompetent nekompetentag
incompatible nekunigeblag
incomparable nekompareblag
incommode ĝenig
income rentog
incoherent sensencag
include enhavig
incline inklinig
inclination inklinog
incite instigi
incision tranĉog
incident okazaĵog
inch colog
incentive kaŭzog
incest sangadultog
incense furiozigig
incense bonodorfumog
incendiary brulkrimulog
incarnation korpiĝog
incarnate korpigig
incapacity nekapablecog
incapable nekapablag
incalculable nekalkuleblag
inauspicious nefavorag
inaudible neaŭdeblag
inattention neatentecog
inappropriate nedecag
inappreciable netakseblag
inanimate senvivag
inane malplenag
inadvertence malatentecog
inactive senokupag
inaction senokupog
inaccurate neakuratag
inaccessible neatingeblag
inability neeblecog
in eng
impute alkalkulig
impurity malpurecog
impure malpurag
impulse puŝog
impudent senhontag
imprudent nesingardemag
improvise improvizig
improvident malspxaremag
improvement plibonigog
improve plibonigig
impromptu senpreparag
impropriety nedececog
improper nedecag
improbable neverŝajnag
imprison malliberigig
impressive impresag
impressionable impreseblag
impression impresog
impress impresig
impregnable fortikag
impracticable nefareblag
impoverish malriĉigig
impotence neeblecog
impostor trompantog
impost impostog
impossible neeblag
importune trudi
importunate trudemag
important gravag
importance gravecog
import enportig
impolitic nesaĝemag
impolite malĝentilag
implore petegig
implied neesprimitag
implicate implikig
implement ilog
implant enradikig
implacable venĝemag
impious malpiag
impiety malpiecog
impetus antaŭenpuŝog
impetuous vivegag
imperturbable stoikag
impertinent malrespektag
impersonal nepersonag
impermeable nepenetreblag
imperishable nepereemag
imperial imperiag
imperfection difektaĵog
imperfect neperfektag
imperative ordonag
impenetrable nepenetreblag
impend minacig
impediment barog
impeach kulpigi
impassive kvietega
impatient malpaciencag
impatience malpaciencog
impartiality senpartiecog
impartial senpartiag
impart komuniki
impair difektig
imp diabletog
immutable neŝanĝeblag
immovable senmova
immortality senmortecog
immortal senmortag
immorality malbonmorecog
immoral malbonmorag
immolate oferbuĉig
immodest nemodestag
immoderate malmoderag
immobility senmovecog
imminent minacag
immigrant enmigrantog
immigrate enmigrig
immerse subakvigig
immerge trempig
immense vastag
immediately tujg
immediate tujag
immature nematurag
immaterial negravag
immaculate senmakulag
imitation imitog
imitate imitig
imbue penetri
imbibe sorbigig
imbecile malspritulog
imagine imagig
imagination fantaziog
imaginary fantaziag
image figurog
illustrious famag
illustration ilustraĵog
illustrated ilustritag
illustrate ilustrig
illusion iluziog
illumination iluminadog
illuminate iluminig
illude iluziig
illogical mallogikag
illness malsanog
illiterate malklerag
illicit malpermesitag
illiberal avarag
illegitimate malrajtag
illegitimate nelaŭleĝag
illegible nelegeblag
illegal malleĝag
ill-bred maledukitag
ill malboneg
ill malbonog
ignore neobservig
ignorant malklerag
ignorance nesciog
ignominy malnoblecog
ignoble malnoblag
ignite ekbruligig
if seg
idolize amegi
idolatry idolservadog
idol idolog
idleness senokupecog
idle senokupag
idiot idiotulog
idiocy idiotecog
identify identigig
identical identag
ideal idealog
idea ideog
icelander islandanog
icicle pendglaciog
iceberg glacierego
ice glaciog
ibis ibisog
i mig
hysterics histeriog
hysterical histeriag
hyssop hisopog
hypotenuse hipotenuzog
hypothesis hipotezog
hypocritical hipokritag
hypocrite hipokritulog
hypocrisy hipokritecog
hypochondria hipoĥondriog
hypnotize hipnotigig
hypnotism hipnotismog
hypnotic hipnotag
hyphen streketog
hyperbole hiperbolog
hymn himnog
hygrometry higrometriog
hygrometer higrometrog
hyena hienog
hydrostatic hidrostatikag
hydrophobia hidrofobiog
hydropathy akvokuracog
hydrogen hidrogenog
hydra hidrog
hyacinth hiacintog
hutch kestog
hut budog
hustle puŝegig
hussar husarog
husk ŝelog
hush silentigig
husbandman terkulturistog
husband edzog
hurtful malutilag
hurt malutilig
hurry rapidig
hurricane uraganog
hurrah hurag
hurl alĵetig
hurdle branĉbariletog
hunting-lodge ĉasdometog
hunt ĉasig
hundredweight centfuntog
hungry malsatag
hunger malsatog
hunchback ĝibulog
hump ĝibog
humour humorog
humorous humorag
humming-bird kolibrog
humility humilecog
humiliate humiligig
humidity malsekecog
humid malsekag
humerus humerog
humble humiligig
humble humilag
humanity humanecog
humane humanag
human homag
hum zumig
hum kantetig
huge grandegag
hug ĉirkaŭprenegig
huddle kunproksimiĝig
hubbub bruadog
howitzer bombardilog
howl hundblekegig
howsoever tameng
however tameng
how kielg
hover flirtegig
hovel kajuto
housewife mastrinog
housekeeping mastraĵog
house domog
hour horog
hound hundog
hotel hotelog
hothouse varmejog
hot varmegag
hostile kontraŭa
hostage garantiulog
host hostiog
host mastrog
hospitality gastamog
hospital malsanulejo
hospitable gastamag
hosier ŝtrumpvendistog
hose ledtubog
hose ŝtrumpaĵog
horticulture ĝardenkulturog
horseshoe hufferaĵog
horse-radish krenog
horsemanship rajdartog
horse ĉevalog
horror terurog
horrid terurag
horrible terurigag
horoscope horoskopog
horn kornog
horizontal horizontalag
horizon horizontog
hope esperig
hope esperog
hoop ringegog
hook hokog
hoof hufog
hood kapuĉog
honourableness honorindecog
honour honorog
honour honorig
honeysuckle lonicerog
honeycomb mieltavolog
honey mielog
honesty honestecog
honest honestag
homonym samnomag
homicide hommortigog
homoeopathy homeopatiog
home hejmog
homage riverencog
holy sanktag
holly ileksog
hollow kavigig
hollow kavag
holla ho!
holiness sanktecog
holiday libertempog
hole truog
hold tenig
hoist suprenlevig
hog porkvirog
hoe sarkilog
hoe sarkig
hobby amuzaĵog
hobble lamirig
hoax mistifikig
hoarse raŭkag
hoarfrost prujnog
hoard amasog
hive abelujog
hitch malhelpaĵog
hit frapig
history historiog
historian historiskribantog
hiss siblig
his lia
hireling salajrulog
hire dungig
hippopotamus hipopotamog
hippodrome hipodromog
hip koksog
hint proponetig
hinge ĉarnirog
hindu hindog
hindrance malhelpog
hindoo hindog
hindermost lastag
hinderance malhelpog
hinder malhelpig
hinder postag
hind cervinog
him ling
hilt tenilog
hillock altaĵetog
hill montetog
highwayman rabistog
highway vojog
high-tide alfluog
highlander montanog
high altag
hieroglyphic hieroglifog
hierarchy hierarĥiog
hiding-place kaŝejog
hideous malbelegag
hide kaŝig
hidden kaŝitag
hiccough singultog
hiatus mankog
hexameter heksametrog
hexagon sesangulog
hew dehakig
hesitation ŝanceliĝog
hesitate ŝanceliĝig
herring haringog
heron ardeog
heroism heroecog
heroine heroinog
heroic heroag
hero heroog
hernia herniog
hermit ermitog
heritage heredog
heretical herezag
heretic herezulog
heresy herezog
hereditary heredag
herdsman paŝtistog
herd brutarog
herbivorous herbomanĝantag
herbalist herbovendistog
herb herbog
heraldry blazonog
heraldic heraldikag
herald heroldog
hers ŝiag
her ŝing
heptagon sepangulog
hepatic hepatag
henbane hiskiamog
hemp kanabog
hemorrhoids hemorojdog
hemorrhage sangadog
hemisphere duonsferog
hem borderog
hem borderig
helpmate kunhelpantog
helpful helpemag
help helpig
helmsman direktilistog
helmet kaskog
helm direktilog
hellish inferag
hellenism helenismog
hell inferog
helix ŝraŭbegog
heliotrope heliotropog
heir heredantog
heinous kruelegag
height alteco
heifer bovidinog
heel kalkanog
heedless senatentag
heedful atentag
heed atentig
hedgehog erinacog
hedge plektobarilog
hectolitre hektolitrog
hectogramme hektogramog
hectare hektarog
hebrew hebreog
hebraism hebreismog
hebdomadary ĉiusemajnag
heavy pezag
heaviness multepezecog
heaven ĉielog
heathenism idolservog
heathen idolanog
heath stepo
heat varmecog
heat hejtig
hearty koregag
heartsease violog
heartrending korŝirantag
hearth fajrujo
heart korog
hearse ĉerkveturilog
hearken aŭskultig
hear aŭdig
heap amasog
healthy sanag
health sanog
heal kuracig
headstrong obstinag
headlong senpripensa
headland promontorog
headache kapdolorog
head kapog
he lig
hazel-nut avelog
haze nebuletog
hazardous hazardag
hazard hazardog
hazard hazardig
hay-loft fojnejog
hay fojnog
hawthorn kratagog
hawk akcipitrog
havoc ruinigog
haven havenog
have havig
hautboy hobojog
haunt vizitadig
haunch koksog
haughty arogantag
hatred malamog
hateful malamindag
hate malamig
hatchet hakilog
hatch elŝeligig
hat ĉapelog
hasty rapidag
hasten rapidig
haste rapidecog
hassock kusenog
hasp alkroĉig
hash viandmiksaĵog
harvest-time rikoltog
hart cervog
harrow erpilog
harrier leporhundog
harpy harpiog
harpoon harpunog
harp harpog
harness jungaĵog
harness jungig
harmony harmoniog
harmonize harmoniigig
harmonious harmoniag
harmonica harmonikog
harm malutilog
harm malutilig
harlequin arlekenog
haricot-bean fazeolog
harem haremog
hairbrained sencerbag
hare leporog
hardy harditag
hardwareman kuirilvendistog
hardness malmolecog
hardly apenaŭg
hard malmolag
harbour havenog
harbinger antaŭulog
harass enuigi
harangue paroladog
happy feliĉag
happiness feliĉog
happen okazig
haply ebleg
hapless malfeliĉag
hap okazig
hansom kabrioletog
hanker deziregig
handsome belag
handshake manpremog
handmade manfaritag
handle tenilog
handle manprenig
handkerchief naztukog
handicraft manfaradog
handful plenmanog
handcuff mankatenog
hand-barrow puŝveturilog
hand manog
hamstring subgenuog
hamper malhelpig
hamper korbog
hammock pendlitog
hammer martelumig
hammer martelog
hamlet vilaĝetog
ham ŝinkog
halter kolbridog
halting-place haltejog
halt haltig
hallucination halucinaciog
hall-porter pordistog
hallow sanktigig
hall vestiblog
half duonog
hale sanag
halcyon alcionog
halberd halebardog
hairy haraĵag
hairdresser frizistog
hair harog
hailstone hajlerog
hail hajlog
hail hajlig
haggle marĉandig
haggard sovaĝag
hag malbelulinog
hackney-coach fiakrog
hack hakig
habituate kutimigig
habitual kutimag
habitation loĝejog
habit vestog
habit kutimog
haberdasher fadenistog
gyrate turniĝig
gypsum gipsog
gymnasium gimnastikejog
gymnast gimnastikistog
gutter-spout defluilog
gutter defluilog
gut intestotubog
gust ekventegog
gush ŝprucig
gunnery pafiladog
gunsmith armilfaristog
gunpowder pulvog
gun-carriage subpafilegog
gun pafilog
gum gumig
gum gumog
gulp englutig
gully valetog
gullet faringo
gull trompig
gulf golfog
guitar gitarog
guinea gineog
guilt kulpog
guillotine gilotinog
guileless senartifikag
guile artifikog
guide gvidistog
guide gvidig
guest gastog
guess divenig
gudgeon gobiog
guardian gardanto
guard gardig
guarantee garantiig
guarantee garantiog
grunt blekig
grumble riproĉegig
gruff malĝentilag
grudge malamecog
growth kreskog
growl bleki
grow kreskig
grove arbetarog
grouse tetrog
group grupigig
group grupog
ground-floor teretaĝog
ground terog
grotto grotog
grotesque groteskag
grope palpetig
groove kavo
groom ĉevalistog
groin ingvenog
grocer spicistog
groats griog
groan ĝemig
grit sablegog
grip premegog
grind pistig
grin grimacig
grime malpurecog
grimace grimacog
grieve malĝojig
grievance plendkaŭzog
grief malĝojog
gridiron kradrostilog
greyhound leporhundog
grey grizag
grenadier grenadistog
grenade grenadog
greet salutig
greek grekog
greenish dubeverdag
greenhouse varmejog
green verdag
greedy manĝegemag
greatness grandecog
great-grandfather praavog
greatcoat paltog
great grandag
grease ŝmirig
grease grasog
gray grizag
gravy sukog
gravity gravecog
graver gravurilog
gravel ŝtonetaĵog
grave gravag
grave tombog
gratuitously senpageg
gratuitous senpagag
gratitude dankecog
gratis senpageg
grating kradog
gratification kontentigog
grater raspilog
grateful dankemag
grate raspi
grate fajrujog
grasshopper akridog
grass-plot herbejog
grass herbog
grasp premig
grapple ekkaptig
grapnel ankretog
graphite grafitog
grapeshot kugletaĵog
grape vinberog
grant permesig
granite granitog
grandson nepog
grandfather avog
grand belegag
granary grenejog
gramme gramog
grammar gramatikog
graft inokulig
graduation gradigog
graduate gradigig
gradually gradeg
gradual gradag
gradation gradecog
gracious graciag
graceful graciag
grace graciog
gown robog
governor regantog
governess guvernistinog
government registarog
govern regig
gout podagrog
gourmand manĝegulog
gourd kukurbog
gossip babilaĵog
gospel evangeliog
gosling anseridog
goshawk akcipitrog
gorgeous belegag
gorge supersatigig
gorge valegog
gooseberry grosog
goose anserinog
goose anserog
goodness bonecog
good-bye adiaŭg
good-for-nothing sentaŭgulog
good bonag
gondola gondolog
goloche galoŝog
goldsmith oraĵistog
goldfinch kardelog
golden orag
gold orog
godly sanktag
godliness sanktecog
godless malpiag
godhead diaĵog
godfather baptopatrog
god diog
goblin koboldog
goblet pokalog
goatherd kapristog
goat kaprog
goad instigilog
go irig
gnome gnomog
gnaw mordetig
gnat kulog
gnash grincig
glycerine glicerinog
gluttony manĝegemog
gluttonous manĝegemag
glutton manĝegulog
glutted sategag
glutinous gluantag
glut satigig
glut satog
glue gluig
glue gluog
glucose glikozog
glow-worm lampirog
glow brilig
glove gantog
gloss polurig
glory glorog
glorious glorag
glorify glorig
gloomy mallumag
gloom mallumog
globule globetog
globular globag
globe globog
glitter brilegig
glisten brilig
glimpse videto
glimmer lumetog
glide glitig
glen valetog
glee ĝojog
glean postrikoltig
gleam lumetog
gleam lumetig
glazier vitraĵistog
glaze vitrumig
glassy vitrecag
glass-works vitrofarejog
glass-case vitromeblog
glare brilegog
gland glandog
glance ekrigardig
gladiator gladiatorog
glade maldensejog
gladden ĝojigig
glad ĝojag
glacier glaciejog
give donig
girl knabinog
girdle zonog
gird zonig
giraffe ĝirafog
gipsy nomadulog
gingerbread mielkukog
ginger zingibrog
gin ĝinog
gimlet boriletog
gilliflower levkojog
gild orumig
gifted talentag
gift donacog
giddiness kapturnog
gibe mokig
gibbous ĝibag
gibbet pendigilog
giant grandegulog
ghost fantomog
gherkin kukumetog
ghastly palegag
gesture gestog
gerund gerundiog
germinate ĝermig
german germanog
germ ĝermog
geranium geraniog
geometry geometriog
geology geologiog
geography geografiog
genus gentog
genuine verag
genuflect genufleksig
gently dolĉeg
gentleman sinjorog
gentle dolĉag
genteel ĝentilag
genius geniog
genitive genitivog
genial bonvolag
generous malavarag
generosity malavarecog
generation generaciog
generate produkti
general ĝeneralag
genealogy genealogiog
gender seksog
gendarme ĝendarmog
gem brilianto
gelatine gelatenog
gehenna gehenog
gazette gazetog
gazelle gazelog
gaze rigardegig
gay gajag
gawky mallertag
gauze gazog
gauntlet fergantog
gaunt malgrasag
gauge mezurig
gaudy luksemag
gathering kolektog
gather kolektig
gate pordegog
gastric stomakag
gasp spiregig
gasometer gasometrog
gash tranĉadig
gaseous gasag
gas gasog
garter ŝtrumpligilog
garrote ĉirkaŭligig
garrison garnizonog
garret subtegmentog
garniture garniturog
garnish ornamig
garner provizig
garment vestog
garlic ajlog
garland girlandog
gargle gargaraĵog
gargle gargarig
gardening ĝardenlaboradog
gardenia gardeniog
gardener ĝardenistog
garden ĝardenog
garb vestog
gape oscedegig
gap mankog
gap breĉog
gaoler gardistog
gaol malliberejog
gangrene gangrenog
ganglion gangliog
gang bandog
gander anservirog
gamut gamog
gamekeeper ĉasgardistog
game-bag ĉasaĵujog
game ĉasaĵog
gambol saltetig
galvanism galvanismog
gallows pendigilog
gallop galopig
gallicism galicismog
galley remŝipegog
gallery galeriog
gallant bravag
gallant ĝentilag
gallant amistog
gall-nut gajlog
gall galog
gale ventego
gaiter gamaŝog
gait iradog
gainsay kontraŭdirig
gain gajnig
gaiety gajecog
gag silentigi
gaff hokstangog
gadfly tabanog
futurity estontecog
future estontag
futile vanag
fustian fustenog
fusion fandiĝog
fusilade pafadog
fuse fandig
fury furiozog
further plimalproksimag
further plieg
furrow tersulkog
furrier felistog
furniture meblarog
furnace forno
furious furiozag
fur felog
funny ridindag
funnel funelog
funereal funebrag
funeral enterigirog
fundholder rentulog
fundamental fundamentag
functionary oficistog
function funkciog
fun ŝercadog
fume fumog
full-aged plenaĝag
full plenag
fulfil plenumig
fugitive forkurantog
fuel brulaĵog
frying-pan pato
fry fritig
frustrate malhelpig
fruitlessly vaneg
fruitless vanag
fruit-garden fruktejog
fruitful fruktoportag
fruitery fruktejog
fruit fruktog
frugal ŝparemag
fructify fruktodonig
frown sulkigig
froward malvirtag
froth ŝaŭmog
frost frostog
frontier landlimog
frolicsome petolemag
frolic petolecog
frog ranog
frock-coat frakog
frivolous malseriozag
fritter fritaĵog
frisk saltetig
fringe franĝog
frigid glaciigag
frightful terurag
frighten timigig
fright timog
frigate fregatog
friendship amikecog
friendly amikag
friend amikog
friction frotadog
friar monaĥog
fret malkvietiĝig
fresh freŝag
fresco freskog
frequency oftecog
frequent vizitadig
frequent oftag
frenzy frenezecog
frenchman francog
freeze glaciiĝig
freemason framasonog
freedom liberecog
free liberag
freckle lentugog
fray batalog
fraudulent trompag
fraud trompog
fraternize fratiĝig
fraternity fratecog
fraternal fratag
frantic furiozag
frankness sincerecog
frankly sincereg
frank sincerag
france francujo
franc frankog
framework trabaĵog
frame kadrog
frame enkadrigig
frail kadukag
fragrance bonodorecog
fragment fragmentog
fragile facilrompag
fracture rompog
fraction partumog
fox vulpog
four kvarg
fountain fontanog
foundry fandejog
foundation fondo
found fondig
foulard silktukog
foul malpurag
foster nutrig
fossil elfosataĵog
forward ekspedi
fortune riĉecog
fortress fortikaĵog
fortitude kuraĝecog
fortify fortigig
fort fortikaĵetog
forsake forlasig
formula formulog
formulary protokolog
formulate formulig
formidable timegindag
formerly iam
formation formog
formal ceremoniag
fork forkog
forgiveness pardonog
forgive pardonig
forget-me-not miozotog
forgetfulness forgesecog
forgetful forgesag
forget forgesig
forge forĝejog
forge forĝig
forewarn avertig
forethought antaŭzorgog
foretell antaŭdirig
forest arbarog
foresight antaŭzorgog
foresee antaŭvidig
forerunner antaŭulog
forenoon antaŭtagmezog
foremost unuag
foreman submajstrog
foreigner alilandulog
foreign alilandog
forehead fruntog
foreboding antaŭsentog
forearm antaŭbrakog
fore antaŭag
ford transirejog
forcible devigeblag
force devigig
forbid malpermesig
forbearing toleremag
forbearance tolerog
forbear tolerig
forage furaĝog
for porg
for ĉarg
fop dandog
footway piedvojog
foot-soldier infanterianog
footprint piedsignog
footpath trotuarog
footman lakeog
foot-bridge piedpontog
foot piedog
foolishness malsaĝecog
foolish malsaĝag
fool simplanimulog
food nutraĵog
font baptakvujog
fondness amecog
fondle dorlotig
foment vivigig
fond amag
folly malspritecog
follow sekvig
foliage foliarog
folding-screen ventoŝirmilog
fold faldig
fog nebulog
foe kontraŭulo
foetid malbonodorag
fodder furaĝog
focus fokusog
foam ŝaŭmo—aĵog
foam ŝaŭmig
foal ĉevalido—inog
fly muŝog
fly flugig
flux alfluog
flutter flugeti
flute flutog
fluid fluag
fluid fluaĵog
fluent elokventa
flue kamentubog
fluctuate ŝanceliĝig
flower-garden florejog
flower-bed florbedog
flower florig
flow fluig
flour farunog
flotilla ŝiparetog
florist floristog
florin florenog
florid ruĝegag
floor plankog
flood superakvegog
flog skurĝig
flock arog
flit flirtig
flirtation koketecog
flirt koketulinog
flirt amindumeti
flippant babilag
fling ĵetig
flight forkurog
flicker lumŝancelig
flexion fleksog
flexible flekseblag
flexibility flekseblecog
flesh karnog
fleet ŝiparog
fleecy lanecag
fleece ŝaflanog
flee flugig
flea pulog
flay senhaŭtigig
flax linog
flaw difektog
flavour gustog
flattering flatemag
flatterer flatulog
flatter flatig
flatten platigig
flat platag
flask boteletog
flare brilegog
flap klapog
flannel flanelog
flank flankog
flame flamog
flame flamig
flambeau torĉog
flake neĝero
flail draŝilog
flagrant flagrantag
flagstone ŝtonplatog
flagon botelegog
flag standardog
flabby molag
fixity fiksecog
fixed fiksag
fix fiksig
five kving
fitly alkonvenag
fist pugnog
fissure fendetog
fishmonger fiŝvendistog
fish-market fiŝvendejog
fishing-line hokfadenog
fishing fiŝkaptadog
fish-hook fiŝhokog
fishery fiŝkaptado
